Title,Abstract
Docklands Light Railway,"The Docklands Light Railway (DLR) is an automated light metro system opened in 1987 to serve the redeveloped Docklands area of East London, England.[3][4] It reaches north to Stratford, south to Lewisham across the River Thames, west to Tower Gateway and Bank in the City of London financial district, and east to Beckton, London City Airport, and to Woolwich Arsenal south of the river.
The system uses minimal staffing on trains and at major interchange stations; the four below-ground stations are staffed to comply with underground station health and safety regulations.
The DLR is operated under a franchise awarded by Transport for London to KeolisAmey Docklands, a joint venture between transport operator Keolis and infrastructure specialists Amey plc. It was previously run for over 17 years by Serco Docklands,[5] part of the Serco Group.[6][7] The system is owned by Docklands Light Railway Ltd,[8] part of the London Rail division of Transport for London. In 2017/18 the DLR carried 121.8 million passenger journeys.[1] It has been extended multiple times and further extensions are under consideration.
"
Hanwell,"Hanwell (/ˈhænwɛl/) is a town in the London Borough of Ealing, in the historic County of Middlesex, England. It is about 1.5 miles west of Ealing Broadway and had a population of 28,768 as of 2011.[2] It is the westernmost location of the London post town.
"
France,"– in Europe (green & dark grey)– in the European Union (green)
France (French: [fʁɑ̃s] (listen)), officially the French Republic (French: République française, pronounced [ʁepyblik fʁɑ̃sɛːz] (listen)), is a country whose territory consists of metropolitan France in Western Europe and several overseas regions and territories.[XIII] The metropolitan area of France extends from the Mediterranean Sea to the English Channel and the North Sea, and from the Rhine to the Atlantic Ocean. It is bordered by Belgium, Luxembourg and Germany to the northeast, Switzerland, Monaco, and Italy to the east, and Andorra and Spain to the south. The overseas territories include French Guiana in South America and several islands in the Atlantic, Pacific and Indian oceans. The country's 18 integral regions (five of which are situated overseas) span a combined area of 643,801 square kilometres (248,573 sq mi) and a total population of 67.08 million (as of March 2020[update]).[10] France is a unitary semi-presidential republic with its capital in Paris, the country's largest city and main cultural and commercial centre. Other major urban areas include Lyon, Marseille, Toulouse, Bordeaux, Lille and Nice. France, including its overseas territories, has the most number of time zones of any country, with a total of 12.
During the Iron Age, what is now metropolitan France was inhabited by the Gauls, a Celtic people. Rome annexed the area in 51 BC, holding it until the arrival of Germanic Franks in 476, who formed the Kingdom of Francia. The Treaty of Verdun of 843 partitioned Francia into East Francia, Middle Francia and West Francia. West Francia, which became the Kingdom of France in 987, emerged as a major European power in the Middle Ages under King Philip Augustus. During the Renaissance, French culture flourished and a global colonial empire was established, which by the 20th century would become the second largest in the world.[11] The 16th century was dominated by religious civil wars between Catholics and Protestants (Huguenots). France became Europe's dominant cultural, political, and military power in the 17th century under Louis XIV.[12] In the late 18th century, the French Revolution overthrew the absolute monarchy, establishing one of modern history's earliest republics and drafting the Declaration of the Rights of Man and of the Citizen, which expresses the nation's ideals to this day.
In the 19th century, Napoleon took power and established the First French Empire. His subsequent Napoleonic Wars (1803–15) shaped the course of continental Europe. Following the collapse of the Empire, France endured a tumultuous succession of governments culminating with the establishment of the French Third Republic in 1870. France was a major participant in World War I, from which it emerged victorious, and was one of the Allies in World War II, but came under occupation by the Axis powers in 1940. Following liberation in 1944, a Fourth Republic was established and later dissolved in the course of the Algerian War. The Fifth Republic, led by Charles de Gaulle, was formed in 1958 and remains today. Algeria and nearly all the other colonies became independent in the 1960s, with most retaining close economic and military connections with France.
France has long been a global centre of art, science, and philosophy. It hosts the world's fifth-largest number of UNESCO World Heritage Sites and is the leading tourist destination, receiving over 89 million foreign visitors in 2018.[13] France is a developed country with the world's seventh-largest economy by nominal GDP, and the tenth-largest by PPP. In terms of aggregate household wealth, it ranks fourth in the world.[14] France performs well in international rankings of education, health care, life expectancy, and human development.[15][16] France is considered a great power in global affairs,[17] being one of the five permanent members of the United Nations Security Council with the power to veto and an official nuclear-weapon state. It is a leading member state of the European Union and the Eurozone,[18] and a member of the Group of 7, North Atlantic Treaty Organization (NATO), Organisation for Economic Co-operation and Development (OECD), the World Trade Organization (WTO), and La Francophonie.
Originally applied to the whole Frankish Empire, the name France comes from the Latin Francia, or ""country of the Franks"".[19] Modern France is still named today Francia in Italian and Spanish, while Frankreich in German, Frankrijk in Dutch and Frankrike in Swedish all mean ""Land/realm of the Franks"".
There are various theories as to the origin of the name Frank. Following the precedents of Edward Gibbon and Jacob Grimm,[20] the name of the Franks has been linked with the word frank (free) in English.[21] It has been suggested that the meaning of ""free"" was adopted because, after the conquest of Gaul, only Franks were free of taxation.[22] Another theory is that it is derived from the Proto-Germanic word *frankon, which translates as javelin or lance as the throwing axe of the Franks was known as a francisca.[23] However, it has been determined that these weapons were named because of their use by the Franks, not the other way around.[24]
In English, 'France' is pronounced /fræns/ FRANSS in American English and /frɑːns/ FRAHNSS or /fræns/ FRANSS in British English. The pronunciation with /ɑː/ is mostly confined to accents with the trap-bath split such as Received Pronunciation, though it can be also heard in some other dialects such as Cardiff English, in which /frɑːns/ is in free variation with /fræns/.[25][26]
The oldest traces of human life in what is now France date from approximately 1.8 million years ago.[27] Over the ensuing millennia, Humans were confronted by a harsh and variable climate, marked by several glacial eras.
"
Guildhall Art Gallery,"Coordinates: 51°30′56″N 0°05′29″W﻿ / ﻿51.5155°N 0.0914°W﻿ / 51.5155; -0.0914
The Guildhall Art Gallery houses the art collection of the City of London, England. It is a stone building in a semi-gothic style intended to be sympathetic to the historic Guildhall, which is adjacent and to which it is connected internally.
"
Canary Wharf tube station,"Canary Wharf is a London Underground station at Canary Wharf and is on the Jubilee line, between Canada Water and North Greenwich. The station is located in Travelcard Zone 2[5] and was opened on 17 September 1999[6] as part of the Jubilee Line Extension. Over 40 million people pass through the station each year, making it second busiest on the London Underground outside Central London after Stratford, and also the busiest that serves only a single line.[note 1]
"
Greenford,"Greenford (/ˈɡriːnfərd/) is a large suburb in the London Borough of Ealing in Greater London, England, lying 11 miles (18 km) west from Charing Cross in Central London. It was an ancient parish in the historic county of Middlesex. It has a population of 46,787 inhabitants, or 62,126 with the inclusion of Perivale.
Greenford is served by Greenford Station (London Underground Central Line and Greenford branch of the Great Western Railway mainline service). South Greenford mainline station (on the A40 Western Avenue, also on the Greenford branch of the GWR) is actually in Perivale.[2] Neither station is in Greenford Town Centre (Greenford Broadway), which instead is served by many local buses.
Nearby places include Yeading, Hanwell, Perivale, Southall, Northolt, Ealing, Sudbury, Harrow and Wembley. The most prominent landmarks in the suburb are Horsenden Hill, 279 feet (85 m) above sea level; the small Parish Church of Holy Cross (14th century); and Betham House, built by Edward Betham (c. 1780).
Greenford covers a large area bearing its name, including over two miles through Greenford Road which gives it three distinct localities: North Greenford, Greenford Green, and Greenford Broadway - this is also reflected in the names of the electoral wards. Though a separate ""town"" within the borough of Ealing,[3][4] the Royal Mail includes Perivale within the Greenford post area and as such the two share the UB6 postcode.
"
British Sri Lankans,"British Sri Lankans (Sinhala: බ්‍රිතාන්‍ය ශ්‍රී ලාංකිකයන් Britanya Shri Lankikayan,  Tamil: பிரித்தானிய இலங்கையர்) are a demographic construct that contains people who can trace their ancestry to Sri Lanka. It can refer to a variety of ethnicities and races, including Sinhalese, Tamils, Moors/Muslims, and Burghers.
"
Leeds,"Leeds (/liːdz/) is the largest city in the county of West Yorkshire in Northern England, approximately 170 miles (270 km) north of central London.[6] Leeds has one of the most diverse economies of all the UK's main employment centres and has seen the fastest rate of private-sector jobs growth of any UK city. It also has the highest ratio of private to public sector jobs of all the UK's Core Cities, with 77% of its workforce working in the private sector. Leeds has the third-largest jobs total by local authority area, with 480,000 in employment and self-employment at the beginning of 2015.[5] Leeds is ranked as a High Sufficiency level city by the Globalization and World Cities Research Network.[7] Leeds is the cultural, financial and commercial heart of the West Yorkshire Urban Area.[8][9][10] Leeds is served by five universities, it has the UK's fourth largest student population and the country's fourth largest urban economy.[11]
Leeds was a small manorial borough in the 13th century, and in the 17th and 18th centuries it became a major centre for the production and trading of wool, and in the Industrial Revolution a major mill town; wool was still the dominant industry, but flax, engineering, iron foundries, printing, and other industries were also important.[12] From being a market town in the valley of the River Aire in the 16th century, Leeds expanded and absorbed the surrounding villages to become a populous urban centre by the mid-20th century. It now lies within the West Yorkshire Urban Area, the United Kingdom's fourth-most populous urban area, with a population of 2.6 million.[13]
Today, Leeds has become the largest legal and financial centre outside London[5][14] with the financial and insurance services industry worth £13 billion to the city's economy. The finance and business service sector account for 38% of total output[5][15][16] with more than 30 national and international banks located in the city, including an office of the Bank of England.[14] Leeds is also the UK's third-largest manufacturing centre with around 1,800 firms and 39,000 employees; Leeds manufacturing firms account for 8.8% of total employment in the city and is worth over £7 billion to the local economy.[15] The largest sub-sectors are engineering, printing and publishing, food and drink, chemicals and medical technology.[17] Other key sectors include retail, leisure and the visitor economy, construction, and the creative and digital industries. The city saw several firsts, including the oldest-surviving film in existence, Roundhay Garden Scene (1888), and the 1767 invention of soda water.[18][19]
Public transport, rail and road communications networks in the region are focused on Leeds; the second phase of High Speed 2 will connect it to London via East Midlands Hub and Sheffield Meadowhall. Leeds currently has the third busiest railway station[20] and the tenth busiest airport outside London.[21]
"
Sikhs,"Sikhs (/siːk/ or /sɪk/; Punjabi: ਸਿੱਖ, sikkh, [sɪkkʰ]) are people associated with Sikhism, a monotheistic religion that originated in the 15th century, in the Punjab region in the northern part of the Indian subcontinent, based on the revelation of Guru Nanak.[26] The term Sikh has its origin in the words शिष्य (śiṣya), meaning a ""disciple"" or a ""student"".[27][28] According to Article I of the Sikh Rehat Maryada (Sikh code of conduct), a Sikh is:[29] Any human being who faithfully believes in One Immortal Being; ten Gurus, from Guru Nanak to Guru Gobind Singh; Guru Granth Sahib; the teachings of the ten Gurus and the baptism bequeathed by the tenth Guru. Male Sikhs generally have Singh (""lion"") as their middle or last name, though not all Singhs are Sikhs. Likewise, female Sikhs have Kaur (""princess"") as their middle or last name. Sikhs who have undergone the Khanḍe-kī-Pahul (""baptism by Khanda"") may also be recognized by the five Ks: kesh, uncut hair, which is kept covered usually by a turban; kara, an iron or steel bracelet; kirpan, a dagger-like sword tucked into a gatra strap or a kamal kasar belt; kachera, a cotton undergarment; and kanga, a small wooden comb.
The Punjab region of the Indian subcontinent has been the historic homeland of the Sikhs, having even been ruled by the Sikhs for significant parts of the 18th and 19th centuries. Today, the Punjab state in northwest India has a majority Sikh population, and sizeable communities of Sikhs exist around the world. Many countries, such as the United Kingdom, recognize Sikhs as a designated religion on their censuses,[30] and, as of 2020, Sikhs are considered as a separate ethnic group in the United States.[31]
Guru Nanak (1469–1539), the founder of Sikhism, was born to Mehta Kalu and Mata Tripta in the village of Talwandi, present-day Nankana Sahib, near Lahore.[32] Throughout his life, Guru Nanak was a religious leader and social reformer. However, Sikh political history may be said to begin in 1606 with the death of the fifth Sikh guru, Guru Arjan Dev.[33] Religious practices were formalised by Guru Gobind Singh on 30 March 1699, when the Guru initiated five people from a variety of social backgrounds, known as the Panj Piare (""beloved five"") to form a collective body of initiated Sikhs, known as the Khalsa (""pure"").[34]
"
London Academy of Excellence,"The London Academy of Excellence (LAE) is a selective free school sixth form college located in the Stratford area of the London Borough of Newham, England. It has approximately 460 pupils and 32 teachers.[1]
"
Royal National Theatre,"The Royal National Theatre in London, commonly known as the National Theatre[1] (NT), is one of the United Kingdom's three most prominent publicly funded performing arts venues, alongside the Royal Shakespeare Company and the Royal Opera House. Internationally, it is known as the National Theatre of Great Britain.[2] It was founded by Laurence Olivier.
From its foundation in 1963 until 1976, the company was based at The Old Vic theatre in Waterloo. The current building is located next to the Thames in the South Bank area of central London. In addition to performances at the National Theatre building, the National Theatre tours productions at theatres across the United Kingdom.[3]
Permission to add the ""Royal"" prefix to the name of the theatre was given in 1988,[4] but the full title is rarely used. The theatre presents a varied programme, including Shakespeare, other international classic drama, and new plays by contemporary playwrights. Each auditorium in the theatre can run up to three shows in repertoire, thus further widening the number of plays which can be put on during any one season.
In June 2009, the theatre began National Theatre Live (NT Live), a programme of simulcasts of live productions to cinemas, first in the United Kingdom and then internationally. The programme began with a production of Phèdre, starring Helen Mirren, which was screened live in 70 cinemas across the UK. NT Live productions have since been broadcast to over 2,500 venues in 60 countries around the world.
The NT had an annual turnover of approximately £105 million in 2015–16, of which earned income made up 75% (58% from ticket sales, 5% from NT Live and Digital, and 12% from commercial revenue such as in the restaurants, bookshops, etc.). Support from Arts Council England provided 17% of income, 1% from Learning and Participation activity, and the remaining 9% came from a mixture of companies, individuals, trusts and foundations.[5]
"
Romford,"Romford is a large town in east London  and the administrative centre of the London Borough of Havering. It is located 14.1 miles (22.7 km) northeast of Charing Cross and is one of the major metropolitan centres identified in the London Plan.[2] Historically Romford was a market town in the county of Essex and formed the administrative centre of the liberty of Havering, until it was dissolved in 1892.[3][4] Good road links to London and the opening of the railway station in 1839 were key to the development of the town[3] and the economic history of Romford is underpinned by a shift from agriculture to light industry and then to retail and commerce.[3] As part of the suburban growth of London in the 20th century, Romford significantly expanded and increased in population, becoming a municipal borough in 1937 and has formed part of Greater London since 1965 when the area was transferred from Essex.[5][6][7] It now forms one of the largest commercial, retail, entertainment and leisure districts in London and has a developed night-time economy.[8][9] The entire town had a population of 122,854 as of 2011.[10]
"
Putney Bridge,"Putney Bridge is a bridge over the River Thames in west London, linking Putney on the south side with Fulham to the north. The bridge has medieval parish churches beside its abutments: St Mary's Church, Putney is built on the south and All Saints Church, Fulham on the north bank. This close proximity of two churches by a major river is rare, another example being at Goring-on-Thames and Streatley, villages hemmed in by the Chiltern Hills (the Goring Gap).  Before the first bridge was built in 1729, a ferry had shuttled between the two banks. 
The current format is three lanes southbound (including one bus lane) and one lane (plus cycle lane/bus stop) northbound. Putney High Street, a main approach, is part of a London hub for retail, offices, food, drink and entertainment.  Putney Embankment hosts Putney Pier for riverboat services immediately south-west of the bridge as well as the capital's largest set of facilities in rowing. The Pier in the sport marks one end of the Championship Course.  
"
London Borough of Hammersmith and Fulham,"The London Borough of Hammersmith and Fulham (pronunciation (help·info)) is a London borough partly in west London (Hammersmith, West Kensington) and partly in southwest London (Fulham); it forms part of Inner London.
Traversed by the east–west main roads of the A4 Great West Road and the A40 Westway, many international corporations have offices in the borough.[2] The local council is Hammersmith and Fulham London Borough Council. The borough is amongst the four most expensive boroughs for residential properties in the United Kingdom, along with Kensington and Chelsea, the City of Westminster and Camden.[3]
The borough is unique in London in having three professional football clubs: Chelsea, Fulham and Queens Park Rangers.
"
Middlesex County Cricket Club,"First-class
One-day
T20
Middlesex County Cricket Club is one of eighteen first-class county clubs within the domestic cricket structure of England and Wales. It represents the historic county of Middlesex which has effectively been subsumed within the ceremonial county of Greater London. The club was founded in 1864 but teams representing the county have played top-class cricket since the early 18th century and the club has always held first-class status. Middlesex have competed in the County Championship since the official start of the competition in 1890 and have played in every top-level domestic cricket competition in England.[1]
The club plays most of its home games at Lord's Cricket Ground, which is owned by Marylebone Cricket Club, in St John's Wood. The club also plays some games at the Uxbridge Cricket Club Ground (historically Middlesex) and the Old Deer Park in Richmond (historically Surrey). Until October 2014, the club played limited overs cricket as the Middlesex Panthers, having changed from Middlesex Crusaders in 2009 following complaints from Muslims and Jews.[2] On 24 October 2014, the club announced that they would use the name Middlesex County Cricket Club in all forms of the sport with immediate effect.[3] Limited-overs kit colours are dark blue and pink quarters and from 2007, Middlesex have worn exclusive pink shirts during their Twenty20 matches in support of the Breakthrough Breast Cancer charity. The club has an indoor school based in Finchley, the Middlesex Academy and a project at Radlett Cricket Club.
Middlesex have won thirteen County Championship titles (including 2 shared titles), the most recent in 2016. In limited overs cricket, they have won two Benson & Hedges Cups, four one-day cricket titles, one National League and the Twenty20 Cup, through which they became the first county club to qualify for both the Stanford Super Series and the Twenty20 Champions League.
Strong 1974 winning side included a batting line-up of international players in Roland Butcher,[7] Ian Gould, Phillip Edmonds, John Embury, Mike Gatting, Graham Barlow, Rodney Ontong, and Larry Gomes. R. P. Willows topped the batting and Phillip Edmonds the bowling, they also won the Warwick Pool Championship the same year.
It is almost certain that cricket reached London, and thereby Middlesex, by the 16th century. Early references to the game in London or Middlesex are often interchangeable and sometimes it is not clear if a particular team represents the city or the county.
See: History of cricket to 1696 and History of cricket 1697 - 1725
The first definite mention of cricket in London or Middlesex dates from 1680. It is a clear reference to ""the two umpires"" (the earliest mention of an umpire in what seems to be a cricket connection) and strongly suggests that the double wicket form of the game was already well known in London.[8]
The earliest known match in Middlesex took place at Lamb's Conduit Fields in Holborn on 3 July 1707 involving teams from London and Croydon.[9] In 1718, the first reference is found to White Conduit Fields in Islington, which later became a very famous London venue.[8]
The earliest known reference to a team called Middlesex is on 5 August 1728 when it played London Cricket Club ""in the fields behind the Woolpack, in Islington, near Sadlers Wells, for £50 a side"".[9] This was also the earliest known first-class match involving a Middlesex team.[10]
For information about Middlesex county teams before the formation of Middlesex CCC, see: Middlesex county cricket teams
There are references to earlier county organisations, especially the MCC Thursday Club around 1800, but the definitive Middlesex club is the present Middlesex CCC. The club was informally founded on 15 December 1863 at a meeting in the London Tavern. Formal constitution took place on 2 February 1864. The creation of the club was largely through the efforts of the Walker family of Southgate, which included several notable players including the famous V. E. Walker, who in 1859 became the first player to take 10 wickets in an innings and score a century in the same match.
Middlesex CCC played its initial first-class match versus Sussex CCC at Islington on 6 & 7 June 1864. In the same season, the club was a contender for the title of ""Champion County"". Middlesex played at Lillie Bridge Grounds from 1869 before leaving in 1872 due to the poor quality of the turf. The club nearly folded at this time, a vote for continuing being won 7–6. They played at Prince's Cricket Ground from 1872 to 1876, and began using Lord's Cricket Ground in 1877.
The Club has produced several noted players, particularly the great batsmen Patsy Hendren, Bill Edrich and Denis Compton.
Bill Edrich scored 1,000 runs before the end of May in 1938. He needed just 15 innings, with 4 centuries, and every run was scored at Lord's. Don Bradman gave him the chance to score the 10 runs he needed in the Australian tour match with Middlesex by declaring his team's innings early.
Middlesex won the County Championship in 1947 thanks to the unprecedented run scoring of Compton and Edrich. They both passed Tom Hayward's 1906 record of 3,518 runs in a season with Compton making 3,816 at 90.86 and Edrich 3,539 at 80.43 with a dozen centuries. Compton's 18 centuries surpassed Jack Hobbs' former record of 16, set in 1925. Together with Jack Robertson's 2,214 runs and Syd Brown's 1,709 and the bowling of Jack Young, Jim Sims, Laurie Gray and Compton and Edrich themselves, the championship was won. The following season Compton and Edrich made their record unbeaten stand of 424 for the 3rd wicket against Somerset at Lords.
Middlesex's most successful period coincided with the captaincies of Mike Brearley and Mike Gatting from 1971 to 1997. Brearley proved as astute for his county as he did for his country between 1971 and 1982. His team included Gatting and England spin bowlers John Emburey and Phil Edmonds, and overseas fast bowlers such as Wayne Daniel.
"
National Diet Library,"The National Diet Library (NDL) (国立国会図書館, Kokuritsu Kokkai Toshokan) is the national library of Japan and among the largest libraries in the world. It was established in 1948 for the purpose of assisting members of the National Diet of Japan (国会, Kokkai) in researching matters of public policy. The library is similar in purpose and scope to the United States Library of Congress.
The National Diet Library  (NDL) consists of two main facilities in Tokyo and Kyoto, and several other branch libraries throughout Japan.
"
Virginia Woolf,"Adeline Virginia Woolf (/wʊlf/;[2] née Stephen; 25 January 1882 –  28 March 1941) was an English writer, considered one of the most important modernist 20th-century authors and also a pioneer in the use of stream of consciousness as a narrative device.
Woolf was born into an affluent household in South Kensington, London, the seventh child in a blended family of eight. Her mother, Julia Prinsep Jackson, celebrated as a Pre-Raphaelite artist's model, had three children from her first marriage, while Woolf's father, Leslie Stephen, a notable man of letters, had one previous daughter. The Stephens produced another four children, including the modernist painter Vanessa Bell. While the boys in the family received college educations, the girls were home-schooled in English classics and Victorian literature. An important influence in Virginia Woolf's early life was the summer home the family used in St Ives, Cornwall, where she first saw the Godrevy Lighthouse, which was to become central in her novel To the Lighthouse (1927).
Woolf's childhood came to an abrupt end in 1895 with the death of her mother and her first mental breakdown, followed two years later by the death of her half-sister and a mother figure to her, Stella Duckworth. From 1897 to 1901, she attended the Ladies' Department of King's College London, where she studied classics and history and came into contact with early reformers of women's higher education and the women's rights movement. Other important influences were her Cambridge-educated brothers and unfettered access to her father's vast library.
Encouraged by her father, Woolf began writing professionally in 1900. Her father's death in 1905 caused another mental breakdown for Woolf. Following his death, the Stephen family moved from Kensington to the more bohemian Bloomsbury, where they adopted a free-spirited lifestyle. It was in Bloomsbury where, in conjunction with the brothers' intellectual friends, they formed the artistic and literary Bloomsbury Group.
In 1912, she married Leonard Woolf, and in 1917 the couple founded the Hogarth Press, which published much of her work. They rented a home in Sussex and moved there permanently in 1940. Throughout her life, Woolf was troubled by her mental illness. She was institutionalised several times and attempted suicide at least twice. Her illness may have been bipolar disorder, for which there was no effective intervention during her lifetime. In 1941, at age 59, Woolf died by putting rocks in her coat pockets and drowning herself in the River Ouse at Lewes.
During the interwar period, Woolf was an important part of London's literary and artistic society. In 1915 she published her first novel, The Voyage Out, through her half-brother's publishing house, Gerald Duckworth and Company. Her best-known works include the novels Mrs Dalloway (1925), To the Lighthouse (1927) and Orlando (1928). She is also known for her essays, including A Room of One's Own (1929), in which she wrote the much-quoted dictum, ""A woman must have money and a room of her own if she is to write fiction.""
Woolf became one of the central subjects of the 1970s movement of feminist criticism and her works have since garnered much attention and widespread commentary for ""inspiring feminism"". Her works have been translated into more than 50 languages. A large body of literature is dedicated to her life and work, and she has been the subject of plays, novels and films. Woolf is commemorated today by statues, societies dedicated to her work and a building at the University of London.
"
Lambeth Bridge,"Lambeth Bridge is a road traffic and footbridge crossing the River Thames in an east-west direction in central London. The river flows north at the crossing point. Downstream, the next bridge is Westminster Bridge; upstream, the next bridge is Vauxhall Bridge.
The most conspicuous colour in the bridge's paint scheme is red, the same colour as the leather benches in the House of Lords, which is at the southern end of the Palace of Westminster nearest the bridge. This is in contrast to Westminster Bridge, which is predominantly green, the same colour as the benches in the House of Commons at the northern end of the Houses of Parliament.
On the east side, in Lambeth, are Lambeth Palace, the Albert Embankment, St. Thomas' Hospital, and the International Maritime Organization. On the west side, in Westminster, are Thames House (the headquarters of MI5), behind which is Horseferry House (the National Probation Service headquarters), and Clelland House and Abell House (the headquarters of HM Prison Service), and the Millbank Tower and Tate Britain. The Palace of Westminster is a short walk downstream to the north through the Victoria Tower Garden.
"
